created_at,LT,LB,KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,deskripsi,,,,,,,,,,,,
05-12-2021,950,1400,6,4,7,,Jakarta Selatan,SHM,23000,,49000000000,https://rumahdijual.com/jakarta-selatan/9553588-rumah-mewah-pondok-indah-lt-950-m2-lb-1400-a.html,"Lantai 1 :
- 1 Living Room, Family Room, Dinning Room, Guest Bed Room + Bath Room, Bed Room + Bath Room
- Pantry, Kitchen, Service Area + Staff Bath Room
Lantai 2 :
1 Master Bed Room + Bath Room
1 Bed Room + Bath Room
1 Study Room
1 Billyard Room
1 Living Room
Basement :
2 Staff Bed Rooms
1 Storage
Garage for 6-8 Ca",,,,,,,,,,,,
05-12-2021,60,48,3,2,2,,Jakarta Selatan,SHM,2200,,600000000,https://rumahdijual.com/jakarta-selatan/11759475-rumah-mewah-cluster-daerah-bsd-hanya-600jtan-boston-village.html,"- Lokasi strategis dekat kawasan BSD dan Bintaro
- 10 Menit Ke Pintu Tol BSD
- Dekat Dengan RIS HOSPITAL
- 15 menit ke AEON MALL BSD
- Dekat Sekolah Favorite Di BSD
- Dekat dengan Apartemen Green View , Sky View , Akasa",,,,,,,,,,,,
07-12-2021,738,500,5,3,2,2,Jakarta Selatan,SHM + IMB,13200,,74000000000,https://rumahdijual.com/jakarta-pusat/6519312-rumah-murah-di-menteng-jakarta-pusat.html,"- Unfurnished dan Air Jetpump
- Berada dalam perumahan yang nyaman dan aman serta jalan depan rumah 2 mobil
- Dekat stasiun CIkini, Megaria, Sabang 
- Dekat TK, SD, SMP, SMK, kampus, RSCM, klinik, apotek, perkantoran, tempat kuliner
- Bebas banjir",,,,,,,,,,,,
06-12-2021,719,657,10,6,2,2,Jakarta Selatan,SHM,26400,,40000000000,https://rumahdijual.com/jakarta-pusat/11761983-dijual-rumah-jl-cirebon-menteng-jakarta-pusat.html,"- Pondasi konstruksi rangka beton bertulang
- Dinding pasang bata diplaster dan dicat
- Atap genteng beton
- Jendela kaca rangka kayu
- Pintu panel kayu",,,,,,,,,,,,
06-12-2021,840,800,5,4,8,,Jakarta Selatan,SHM,,,50000000000,https://rumahdijual.com/jakarta-pusat/11761428-rumah-bagus-menteng-area.html,Kawasan Rasuna Epicentrum,,,,,,,,,,,,
05-12-2021,85,180,3,2,,,Jakarta Barat,SHM,5500,,2400000000,https://www.rumah.com/listing-properti/dijual-rumah-baru-uk-5x17-2-5-lantai-di-angke-indah-oleh-dheniz-manuel-19388848, COCOK BUAT KONVEKSI,,,,,,,,,,,,
06-12-2021,47,90,3,3,,1,Jakarta Barat,SHM,2200,,1300000000,https://www.rumah.com/listing-properti/dijual-rumah-dalam-cluster-di-puri-kembangan-jakarta-barat-oleh-ajie-19031093,"Lokasi Strategis 
300 m ke Tol JORR 
1,6 Km ke pintu tol Rawa Buaya 
1,2 km ke Halte Busway Jembatan Baru 
4 Km ke Walikota Jakarta Barat 
4 km ke Mall Puri dan Lippo Mal Puri 
1,7 km ke Stasiun Rawa Buaya 
1,2 Km ke Stasiun Bojong Indah 
1,5 km ke Pasar Cengkareng 
4 km ke RS Puri Indah 
",,,,,,,,,,,,
06-12-2021,90,102,4,3,,,Jakarta Barat,PPJB,4400,timur utara,1700000000,https://www.rumah.com/listing-properti/dijual-rumah-green-puri-6x15-duri-kosambi-cengkareng-jakarta-barat-oleh-fransiskus-x-r-19353095,"Dekat Green Lake City

- Dekat Puri Kembangan

KEUNGGULAN DI GREEN PURI

1. Memiliki WATER TREATMENT PLANT, Sehingga Air Keran Bisa Langsung Diminum

2. Menggunakan POLDER SYSTEM, Sehingga Dijamin Bebas Banjir Hingga 1000 Tahun

3. Memiliki INTER CHANGE - Akses Langsung TOL

4. Memiliki CENTRAL BUSINESS DISTRICT Terlengkap & Bersekala International

5. Hunian Dengan Sistem CLUSTER & Konsep WINDOW OF THE WORLD",,,,,,,,,,,,
04-12-2021,160,400,5,5,,2,Jakarta Barat,SHM,7700,,5150000000,https://www.rumah.com/listing-properti/dijual-rumah-hadap-taman-di-prima-indah-bebas-banjir-strategis-akses-masuk-tanpa-gang-sempit-oleh-eva-yanti-19308944,"Rumah hadap taman, tidak berhadapan dengan rumah lain.
Jadi leluasa untuk parkir di area depan rumah.

Area taman dilengkapi juga dengan portal tambahan khusus area rumah taman.
Dan pos security utama juga ada di area taman, sehingga lebih menjaga keamanan.

Terpasang Kitchen Set dan Wardrobe by Cellini.
6 AC + 3 water heater.
3.5 Lantai, Kamar 4+2, WC 4+1, 1 Storage di area teras.
Ada Attic (dapat digunakan sebagai ruang teduh/berdoa).
ada bak penampungan PAM dan Toren 1000lt.
Tiap lantai mempunyai balkon yang besar.
View ke arah taman dapat dilihat jelas dengan design kaca lebar pada jendela.

Kanopi dengan rangka stainless steel dan tempered glass.
Railing tangga di dalam rumah juga menggunakan stainless steel.
Terpasang custom interior railing tangga berupa lemari display di lantai 2 dan 3.

Lantai 1 terdapat 1 kamar tidur tamu dengan kamar mandi dalam. 2 kamar ART yang dapat digunakan juga sebagai gudang dan 1 kamar mandi.

Lantai 2 terdapat master bedroom, kamar anak dan 1 kamar mandi, area balkon yang luas.

Lantai 3 terdapat 1 kamar anak dan 1 kamar mandi, service area dan laundry room.
Area balkon dengan city view yang sangat luas dilengkapi kanopi, jadi cocok sebagai area bermain, bersantai. Design dengan sliding door dan wide glass window, jadi bisa dibuka semua sehingga ruangan lantai 3 cocok untuk gathering keluarga.

Lantai 3.5 ada torrent, balkon dan attic -- ruang serbaguna dengan design glass window, viewnya city view dan langit yang indah.",,,,,,,,,,,,
02-12-2021,84,200,6,4,,,Jakarta Barat,SHM,4400,,3800000000,https://www.rumah.com/listing-properti/dijual-rumah-komplek-duta-square-oleh-vera-christian-19174908," Lokasi Strategis
- Dekat mall CP , TA, Citraland
- Dekat stasiun pesing dan Angke
- Dekat Rumah Sakit
- Dekat sekolah, dll",,,,,,,,,,,,
